Author Name,Author Username,Tweet Crea,ted At,Tweet Text,Likes,Retweets,Replies,Quotes,Impressions,Bookmark Count
Taniel,Taniel,4/9/2024,20:18:26+00:00,"In rushing to show that they're outraged by a ruling that they brought about, the person Arizona Republicans are stuck with in trying to sell their pivot as sincere is... Keri Lake.",78,10,3,0,7235,0
Presidential Candidate Gabriel Cornejo 🇺🇸,GACornejo,4/9/2024,20:18:20+00:00,"Wow, Arizona. 

I didn’t know time travel was possible. Apparently we are going back to the year 1864.

Their Supreme Court just ruled that a near ban on abortion law will once again be applied. Jail time will be the consequence if violated.

I spent 10 years of my life in AZ. I… https://t.co/wl9kr6Q2D9",1,0,0,0,30,0
Danged Spell(@daimando on Spoutible),DaChangeling,4/9/2024,20:18:10+00:00,"Thanks to the Arizona Supreme Court, Abortion is once again a central issue in America.",0,0,0,0,22,0
Nicholas Wilson,WilsonNich36797,4/9/2024,20:18:04+00:00,Shame on the arizona supreme court!,0,0,0,0,16,0
Jason Someone,JasonSSomething,4/9/2024,20:18:03+00:00,What's happening in Arizona is exactly what they want. Even if they act like they want to distance themselves from it this is what their despicable inhumane overreach created. Doesn't matter if they claim it's not what they intended. They own all of it. Don't let them forget it.,5,2,0,0,79,0
The Reckoning 💥,sethjlevy,4/9/2024,20:17:56+00:00,The AZ Supreme Court abortion ruling could also be a perfect opportunity for a Republican Legislature to work with a Democrat Governor in crafting a law appropriate to Arizona and prove Trump’s statement true.,111,40,13,1,3917,1
Cardinal Dr. Diamond Bill 🎄🎃🍔🍟🍩☕,billintheburbs,4/9/2024,20:17:45+00:00,Has Joe Biden visited Arizona yet?,25,0,3,1,1187,0
Rodman Craig Maffet,rodmanmaffet,4/9/2024,20:17:43+00:00,"Arizona, Wisconsin, Georgia and Pennsylvania are in a dead heat for who’s got the most fucked up state.",0,0,0,0,7,0
Andrea Pierson,Andreawillrise,4/9/2024,20:17:39+00:00,Breaking News: Tuesday Arizona Supreme Court Banning near all Abortions. #AbortionBan,0,0,0,0,29,0
TruxTrains,TruxTrains,4/9/2024,20:17:37+00:00,"Well we guess if an Arizona Supreme Court can apply an 1864 law for banning abortion, is reinstatement of Slavery laws coming next?",0,0,0,0,18,0
Ms. Carleen Northingwood (wrwoe)Fab Mrs Redlington,CarleenMs79371,4/9/2024,20:17:34+00:00,"3m ago
White House says Kamala Harris will 
travel to Arizona after state Supreme 
Court abortion ban ruling

""
CONgress should decide. thet

#OnYourDesk ;)",0,0,0,0,1,0
Los 🦂 and I Stand with Ukraine 💛,migacharlos,4/9/2024,20:17:26+00:00,"The Arizona Supreme Court just set women back 123 years.

#VoteAccordingly",2,0,0,0,27,0
girlguidejones 🗳️,girlguidejones,4/9/2024,20:17:26+00:00,"A neighbor lady who’d previously declined when I asked her to sign the petition to get abortion access on our ballot in November just knocked on my door. Guess what she wanted?

GOP: you’re gonna lose this whole  damn state. 

#RoevemberIsComing2024 

#Arizona #AbortionBan",11,1,0,0,97,0
𝕊𝕦𝕟𝕕𝕒𝕖_𝔻𝕚𝕧𝕚𝕟𝕖,SundaeDivine,4/9/2024,20:17:24+00:00,Time zones always screw me up when traveling - right now it’s 3:18 Central Time in Nashville and 1864 in Arizona.,1464,217,67,13,14015,4
"Death Cab for Callie, MS",DeathCab4Callie,4/9/2024,20:17:19+00:00,"Well, there goes reproductive care in Arizona. Isn’t fascism great? /s",11,0,0,0,433,0
Shaun Rowe,SpunkinBronuts,4/9/2024,20:17:15+00:00,Abortion is murder and Arizona did the right thing.,0,0,0,0,7,0
Matt,nosoupforgeorge,4/9/2024,20:17:13+00:00,"Wow, Arizona really hates women.",43,4,13,0,1526,0
Personhood Alliance,Personhood4All,4/9/2024,20:17:11+00:00,Arizona's ban on abortion is a ban on child sacrifice.  Don't let the media tell you otherwise.,3,1,0,0,20,0
Brian Hacker he/him,BHacker98,4/9/2024,20:17:08+00:00,How is a “law” from pre-statehood still legal? I understand states’ rights but Arizona wasn’t a state in 1864!,1,0,0,0,17,0
LOUIS WOOLF,torvale1953,4/9/2024,20:16:54+00:00,THE WOMEN OF AMERICA NEED TO FOCUS AND SEE WHAT THE REPUBLICANS AND MAGA MEMBERS ARE DOING TO ABORTION RIGHTS! YOU NEED TO GET OUT AND VOTE BLUE FOR BIDEN AND SEND A MESSAGE TO THE ARIZONA SUPREME COURT TO GO FCUK THEMSELVES!,1,0,0,0,32,0
"Dorothy says, ""MAGA are cunts.""",OrothyDay6151,4/9/2024,20:16:53+00:00,I actually wanna thank the state of Arizona for their shortsightedness. They have ZERO IDEA of the fuel they've added to the fire. #WomensRightsAreHumanRights #ProChoiceIsProLife #BlueWave2024,6,4,0,0,69,0
"Hayley McMahon, MSPH, CPH",McMisoprostol,4/9/2024,20:16:43+00:00,"If you think Arizona and Florida’s total and near-total abortion bans aren’t that big of a deal because there are ballot measures in November, dm your location I just want to talk",24,4,0,0,542,0
Jenn R-J,jennfel,4/9/2024,20:16:41+00:00,"In case you are wondering how I'm doing today, let's just say that I live in Arizona where we are now living in the year 1864.",18,1,4,0,339,0
New Hampshire libertarian #RASNERFORSENATE,superso81888152,4/9/2024,20:16:41+00:00,"Win or lose the election, saving the babies is more important. Thank you Arizona.",8,2,3,1,618,1
ME 🇳🇿🌊,MartinNZ1969,4/9/2024,20:16:38+00:00,Is there any chance the US could abort Arizona before it's becomes illegal?,4,0,1,0,82,0
🐝,Kunklission,4/9/2024,20:16:28+00:00,Heart goes out to the women here in Arizona. Supreme Court deserves permanent sleep,1,0,0,0,59,0
Lindsey McC,lindenchariot,4/9/2024,20:16:19+00:00,"If they can reinstate laws from before Arizona was a state, why not from when it was part of Mexico?",0,0,0,0,39,0
Happiness Over Everything.,very_vinyl,4/9/2024,20:16:18+00:00,I hope they boycott Arizona now like they did SB1070. Rulings have consequences.,3,1,0,0,36,0
The People Of America,TrurthTeller,4/9/2024,20:16:12+00:00,Don't forget to also blame @KariLake for what's happening in Arizona,0,0,0,0,7,0
Brenda Goss Andrews,brengossandrews,4/9/2024,20:15:53+00:00,"What rights will t-rump and his followers try to take from women in light of the Arizona ruling? What is next? Such a slippery slope. Women vote for President Joe Biden to preserve our rights. If not, women will be back in the dark ages,",0,0,0,0,0,0
Johnny Miles,JohnnyMiles62,4/9/2024,20:15:21+00:00,"So, now Arizona jumped on the bandwagon? By what right do men rule? How can they possibly have any say in what women do with their bodies? Rest assured this has nothing to do with religion, or being pro-life. It’s all about control. Can we say Lysistrata, please? VOTE them OUT!",1,0,0,0,35,0
MrCasey,MrCasey62,4/9/2024,20:15:12+00:00,"“The Arizona Supreme Court issued a ruling on Tuesday reverting the state back to a 160-year-old, pre-statehood law that outlaws abortions in nearly all circumstances and criminalizes abortions. The 160-year-old law is ‘now enforceable’ and will go into effect in 14 days.”",99,16,4,2,2081,2
Megan Messerly,meganmesserly,4/9/2024,20:15:08+00:00,"Arizona Senate President Warren Petersen and House Speaker Ben Toma said they will be ""reviewing the court’s ruling, talking to our members, and listening to our constituents to determine the best course of action"" between now and when the 1864 law takes effect (in 45+ days).",6,4,3,1,2575,0
Zebra12🇺🇲⚡🔥 Sic Semper Tyrannis,Zebra12991210,4/9/2024,20:15:08+00:00,Arizona bans abortions. A win for life. A win for those of us who want this left to the states.,8,1,3,0,120,0
♉ 𝓗𝓪𝓷𝓴 𝓒𝓱𝓪𝓶𝓫𝓮𝓻𝓵𝓪𝓲𝓷 🇺🇸,fxstguy,4/9/2024,20:15:08+00:00,"With the Arizona Supreme court decision, it almost seems like the Republicans are trying to keep women fired up and angry. I hope they realize women still have the right to vote. How do they think this is going to end for them?",46,13,12,1,502,0
House Press Gallery,HouseDailyPress,4/9/2024,20:15:02+00:00,"The House is beginning up to 40 minutes of debate on H.R. 1829 – To require the Secretary of Agriculture to convey the Pleasant Valley Ranger District Administrative Site to Gila County, Arizona, as amended (Sponsored by @RepEliCrane / Natural Resources Committee).",2,0,0,1,1493,0
Hert,BozoHert,4/9/2024,20:14:53+00:00,"Why Arizona only get popular for like 2 things?
Grand Canyon 
Politics
We got other things like:
4 peaks
The London Bridge
uhhhh
ummmm",3,0,1,0,30,0
